# Arm_Dicke Bein_Dicke Rumpf_Dicke Kopf_Dicke Arm_Länge Bein_Länge Rumpf_Länge Kopf_Länge Gewicht Schwingungsdauer
20.00 19.45 61.00 23.30 182.00 237.00 120.75 74.90 345.30 1.53
20.00 25.95 54.90 24.10 180.90 232.70 124.90 71.00 _ 1.12
20.50 22.85 34.00 33.70 182.00 235.70 127.50 74.40 _ 1.80
18.00 19.80 48.65 34.80 180.75 235.80 127.10 77.70 _ 1.70
15.60 14.50 48.00 33.80 181.10 237.60 120.50 75.10 _ 1.55
15.00 22.00 40.00 _ _ _ _ _ _ 1.60
19.10 22.70 48.20 _ _ _ _ _ _ 1.70
18.20 18.20 35.00 _ _ _ _ _ _ 1.67
16.00 18.65 43.70 _ _ _ _ _ _ 1.73
11.00 22.45 36.60 _ _ _ _ _ _ 1.56
