# Abstand links_mit_gewicht rechts_mit_gewicht links_ohne_gewicht rechts_ohne_gewicht
# cm mm mm mm mm
3.75 6.320 7.125 7.620 8.320
4.25 6.325 7.160 7.625 8.310
4.75 6.320 7.200 7.635 8.310
5.25 6.325 7.230 7.610 8.300
5.75 6.330 7.250 7.600 8.320
6.25 6.330 7.295 7.595 8.340
6.75 6.340 7.345 7.600 8.365
7.25 6.340 7.395 7.610 8.380
7.75 6.360 7.420 7.585 8.390
8.25 6.350 7.450 7.580 8.450
9.25 6.400 7.510 7.570 8.395
10.25 6.420 7.610 7.560 8.430
11.25 6.455 7.700 7.560 8.465
12.25 6.480 7.760 7.560 8.460
13.25 6.570 7.830 7.600 8.470
15.25 6.750 7.950 7.650 8.450
17.25 6.920 8.060 7.700 8.450
19.25 7.135 8.155 7.790 8.405
21.25 7.370 8.250 7.880 8.430
23.25 7.595 8.285 7.960 8.360
25.25 8.010 8.230 8.150 8.280
