#Abstand mit_gewicht ohne_gewicht
49.0 3.265 8.430
48.5 3.515 8.430
48.0 3.505 8.345
47.5 3.595 8.380
47.0 3.700 8.320
46.5 3.740 8.310
46.0 3.810 8.320
45.5 3.920 8.270
45.0 3.960 8.360
44.0 4.100 8.380
43.0 4.240 8.310
42.0 4.350 8.290
41.0 4.480 8.325
40.0 4.610 8.270
39.0 4.740 8.335
38.0 4.865 8.300
37.0 5.010 8.320
36.0 5.080 8.200
35.0 5.250 8.210
33.0 5.480 8.175
31.0 5.790 8.200
29.0 6.050 8.220
27.0 6.375 8.260
25.0 6.655 8.300
23.0 6.910 8.360
21.0 7.180 8.410
19.0 7.440 8.450
17.0 7.680 8.520
15.0 7.870 8.540
10.0 8.180 8.500
5.0 8.330 8.420
