# Abstand mit_Gewicht ohne_Gewicht
49.0 2.235 9.210 
48.5 2.335 8.845
48.0 2.410 9.030
47.5 2.490 8.900
47.0 2.540 8.880
46.5 2.635 9.080
46.0 2.700 8.895
45.5 2.780 8.985
45.0 2.880 8.920
44.0 3.065 8.960
43.0 3.160 8.845
42.0 3.365 8.825
41.0 3.485 8.760
40.0 3.635 8.720
39.0 4.000 8.650
38.0 3.925 8.695
37.0 4.190 8.650
36.0 4.380 8.570
35.0 4.505 8.610
33.0 4.900 8.650
31.0 5.275 8.650
29.0 5.690 8.680
27.0 6.010 8.690
25.0 6.375 8.720
23.0 6.715 8.650
21.0 7.055 8.790
19.0 7.370 8.835
17.0 7.685 8.895
15.0 7.920 8.885
10.0 8.300 8.775
5.0 8.505 8.645
